epoch,train/loss,val/loss,learning_rate,train/time,val/time,eval/val/centroid_dist_avg,eval/val/centroid_dist_median,eval/val/centroid_dist_p90,eval/val/centroid_dist_p95,eval/val/centroid_dist_max,eval/val/centroid_precision,eval/val/centroid_recall,eval/val/centroid_f1,eval/val/centroid_n_tp,eval/val/centroid_n_fp,eval/val/centroid_n_fn
0,,0.000863117806147784,,,1.0482637882232666,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,3.0
1,0.0019239719258621335,0.0008540796115994453,9.999999747378752e-05,380.01715087890625,0.981879472732544,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,3.0
2,0.0007757500279694796,0.0008368343114852905,9.999999747378752e-05,379.20843505859375,1.0019423961639404,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,3.0
3,0.0007591784815303981,0.0008063476998358965,9.999999747378752e-05,377.6515197753906,1.0323853492736816,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,3.0
4,0.0007444823859259486,0.0007429292891174555,9.999999747378752e-05,376.3579406738281,1.0642895698547363,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,3.0
