epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/head,train/confmaps/torso,train/confmaps/tail_base,eval/val/mOKS,eval/val/oks_voc_mAP,eval/val/oks_voc_mAR,eval/val/distance/avg,eval/val/distance/p50,eval/val/distance/p95,eval/val/distance/p99,eval/val/mPCK,eval/val/PCK_5,eval/val/PCK_10,eval/val/visibility_precision,eval/val/visibility_recall
0,,0.00045298770419321954,,,5.707299709320068,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.0006141063058748841,0.000449768005637452,9.999999747378752e-05,1139.586669921875,5.459377765655518,0.000697186216711998,0.0004730469372589141,0.0006720857345499098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.00044783492921851575,0.00044688116759061813,9.999999747378752e-05,1112.4764404296875,5.4464216232299805,0.0004521886876318604,0.00045033154310658574,0.0004409848479554057,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.00044488580897450447,0.00044511750456877053,9.999999747378752e-05,1123.002197265625,5.491504669189453,0.00045128873898647726,0.00044396784505806863,0.0004394010757096112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.0004424663493409753,0.00044115574564784765,9.999999747378752e-05,1121.9583740234375,5.464535236358643,0.0004490821738727391,0.0004400550969876349,0.0004382616898510605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
