epoch,train_loss,val_loss,learning_rate,train_time,val_time,head,torso,tailBase
0,,0.012079723179340363,9.999999747378752e-05,,,,,
0,4.804368654731661e-05,4.791295941686258e-05,9.999999747378752e-05,,,1.671319296292495e-05,0.00010899353219429031,
1,8.890851859177928e-06,7.263599854923086e-06,9.999999747378752e-05,18.748889923095703,0.028865814208984375,7.544703748862958e-06,1.0241101335850544e-05,
2,3.25490191244171e-06,3.1700581075710943e-06,9.999999747378752e-05,18.193635940551758,0.025668859481811523,2.5980548343795817e-06,4.6611753532488365e-06,
3,4.154584530624561e-06,5.438902007881552e-06,9.999999747378752e-05,19.78312873840332,0.026007890701293945,1.8523201106290799e-06,8.7969601736404e-06,
4,7.885059858381283e-06,1.8822123820427805e-05,9.999999747378752e-05,19.876955032348633,0.035590410232543945,2.4068663151410874e-06,1.8904001990449615e-05,
