epoch,train_loss,val_loss,learning_rate,train_time,val_time
0,,0.006519010290503502,9.999999747378752e-05,,
0,6.570366531377658e-05,6.757156370440498e-05,9.999999747378752e-05,,
1,3.0611900001531467e-06,3.0338007945829304e-06,9.999999747378752e-05,91.11756134033203,0.35689425468444824
2,1.6689473341102712e-05,2.3186874386738054e-05,9.999999747378752e-05,90.68363189697266,0.3583550453186035
3,7.989353889570339e-07,7.955472369758354e-07,9.999999747378752e-05,90.61783599853516,0.3662145137786865
4,1.044878558786877e-06,1.2176703876320971e-06,9.999999747378752e-05,91.99798583984375,0.3961787223815918
