epoch,train_loss,val_loss,learning_rate,train_time,val_time,head,torso,tail_base
0,,0.011419973336160183,9.999999747378752e-05,,,,,
0,2.205840610258747e-05,2.3928745576995425e-05,9.999999747378752e-05,,,1.6594131011515856e-05,3.109070166829042e-05,1.849038562795613e-05
1,4.727319173980504e-05,1.9874363715643995e-05,9.999999747378752e-05,56.031494140625,0.13215875625610352,7.55258442950435e-05,2.4020479031605646e-05,4.227324097882956e-05
2,3.7457982671185164e-06,4.1538737605151255e-06,9.999999747378752e-05,56.30653762817383,0.127394437789917,2.8297240532992873e-06,4.8715505727159325e-06,3.5361204027140047e-06
3,5.875020633538952e-06,1.09861457531224e-05,9.999999747378752e-05,55.794189453125,0.13521218299865723,7.200132586149266e-06,7.59049453336047e-06,2.834433189491392e-06
4,6.7471132751961704e-06,8.707356755621731e-06,9.999999747378752e-05,60.396846771240234,0.13017749786376953,5.30555416844436e-06,1.2272334060980938e-05,2.663450004547485e-06
