epoch,train_loss,val_loss,learning_rate,train_time,val_time
0,,0.025165587663650513,9.999999747378752e-05,,
0,0.0002248490636702627,0.00022447331866715103,9.999999747378752e-05,,
1,0.00021660546190105379,0.00021659722551703453,9.999999747378752e-05,318.4598693847656,1.375741958618164
2,0.0002165352925658226,0.00021643734362442046,9.999999747378752e-05,319.5310363769531,1.0741863250732422
3,0.00021614630531985313,0.00021616749290842563,9.999999747378752e-05,307.91082763671875,1.0714638233184814
4,0.0002161744487239048,0.00021636429300997406,9.999999747378752e-05,309.48370361328125,1.1123719215393066
5,0.00021630289847962558,0.00021621900668833405,9.999999747378752e-05,308.1029052734375,1.1072218418121338
6,0.00021665207168553025,0.00021606311202049255,9.999999747378752e-05,308.2731018066406,1.0779335498809814
7,0.00021613072021864355,0.0002163981116609648,9.999999747378752e-05,308.7332458496094,1.0933895111083984
8,0.00021588621893897653,0.0002162846940336749,9.999999747378752e-05,312.43218994140625,1.0761680603027344
9,0.00021675878087989986,0.00021600646141450852,9.999999747378752e-05,310.81060791015625,1.1021699905395508
10,0.00021641363855451345,0.00021625358203891665,9.999999747378752e-05,309.5853576660156,1.0995380878448486
11,0.00021581255714409053,0.00021623080829158425,9.999999747378752e-05,310.1768798828125,1.082646369934082
12,0.0002165142650483176,0.0002158632705686614,9.999999747378752e-05,309.20599365234375,1.0803806781768799
13,0.0002167167403968051,0.00021604534413199872,9.999999747378752e-05,308.8946838378906,1.0942988395690918
14,0.00021552325051743537,0.00021668494446203113,9.999999747378752e-05,308.7406311035156,1.0812270641326904
15,0.00021632584684994072,0.0002158450661227107,9.999999747378752e-05,308.8695068359375,1.0979719161987305
16,0.00021665279928129166,0.00021669433044735342,9.999999747378752e-05,308.866943359375,1.0898449420928955
17,0.0002157579001504928,0.00021582563931588084,9.999999747378752e-05,308.3263244628906,1.0838747024536133
18,0.00021547179494518787,0.00021589617244899273,9.999999747378752e-05,308.5079345703125,1.079420566558838
19,0.00021505395125132054,0.00021562287292908877,9.999999747378752e-05,309.31024169921875,1.1126747131347656
20,0.0002162028249586001,0.00021583994384855032,9.999999747378752e-05,309.1100158691406,1.1075494289398193
21,0.0002139558782801032,0.00021532578102778643,9.999999747378752e-05,310.3257751464844,1.0892772674560547
22,0.00021370955801103264,0.00021583400666713715,9.999999747378752e-05,309.7090759277344,1.0906176567077637
23,0.00021644374646712095,0.0002168813516618684,9.999999747378752e-05,309.50311279296875,1.1305768489837646
24,0.0002142493613064289,0.00021417673269752413,9.999999747378752e-05,309.8951416015625,1.0863041877746582
25,0.00021167637896724045,0.00021203998767305166,9.999999747378752e-05,309.0556640625,1.0759191513061523
26,0.00018814751820173115,0.00020623800810426474,9.999999747378752e-05,308.96856689453125,1.09721040725708
27,0.0002371316950302571,0.0002156701375497505,9.999999747378752e-05,309.087890625,1.0950658321380615
28,0.00018335967615712434,0.0002101375866914168,9.999999747378752e-05,308.37542724609375,1.0812129974365234
29,0.00017790896527003497,0.00019284640438854694,9.999999747378752e-05,308.28900146484375,1.0817029476165771
30,0.000177874302607961,0.00018519994046073407,9.999999747378752e-05,308.6153259277344,1.102008581161499
31,0.0001312797685386613,0.00017334513540845364,9.999999747378752e-05,309.0838928222656,1.0852999687194824
32,0.00013614857743959874,0.00018158549210056663,9.999999747378752e-05,309.17791748046875,1.0733757019042969
33,6.921681779203936e-05,0.0001611988409422338,9.999999747378752e-05,309.1011962890625,1.069793701171875
34,4.1580002289265394e-05,0.00017748185200616717,9.999999747378752e-05,309.3769226074219,1.0801911354064941
35,2.5376501071150415e-05,0.00017874334298539907,9.999999747378752e-05,312.21282958984375,1.0938541889190674
36,9.447562661080156e-06,0.0001680447458056733,9.999999747378752e-05,309.3875732421875,1.0729115009307861
37,1.4510757864627521e-05,0.00016097746265586466,9.999999747378752e-05,309.1917724609375,1.1371245384216309
38,2.171544792872737e-06,0.00015547627117484808,9.999999747378752e-05,310.7825012207031,1.0714409351348877
39,3.0146769859129563e-05,0.00016550184227526188,9.999999747378752e-05,308.7071228027344,1.0732648372650146
40,4.1375838009116706e-06,0.00017158954869955778,9.999999747378752e-05,308.8131408691406,1.0896058082580566
41,9.30767384943465e-07,0.00015897832054179162,9.999999747378752e-05,308.90716552734375,1.0805742740631104
42,3.5430291518423473e-06,0.00017074069182854146,9.999999747378752e-05,309.10107421875,1.0749576091766357
43,3.3193218769156374e-06,0.00016860767209436744,9.999999747378752e-05,309.3873596191406,1.0823278427124023
44,4.572013949655229e-06,0.00016126286936923862,9.999999747378752e-05,309.4561767578125,1.0806291103363037
45,2.5696708689793013e-06,0.00015773443737998605,9.999999747378752e-05,313.8444519042969,1.1215448379516602
46,4.317407729104161e-06,0.0001676258398219943,9.999999747378752e-05,309.5241394042969,1.083512783050537
47,1.96995915757725e-06,0.0001639615511521697,9.999999747378752e-05,324.219482421875,1.158829927444458
48,1.476575675951608e-06,0.000166562051163055,9.999999747378752e-05,314.29632568359375,1.0814909934997559
49,2.196020432165824e-06,0.00016534706810489297,9.999999747378752e-05,313.7391662597656,1.0901126861572266
50,1.34399954276887e-06,0.00016337180568370968,9.999999747378752e-05,332.01165771484375,1.1601152420043945
51,2.2424187591241207e-06,0.00015829902258701622,9.999999747378752e-05,359.2724304199219,1.7142632007598877
