epoch,train_loss,val_loss,learning_rate,train_time,val_time,head,torso,tail_base
0,,0.013411770574748516,9.999999747378752e-05,,,,,
0,0.00028745702002197504,0.00028720611589960754,9.999999747378752e-05,,,0.0003014490066561848,0.00028420903254300356,0.00027671310817822814
1,0.0002656151482369751,0.00026565734879113734,9.999999747378752e-05,204.62881469726562,0.7255916595458984,0.0002652757102623582,0.0002659553720150143,0.00026561436243355274
2,0.00026511563919484615,0.00026510722818784416,9.999999747378752e-05,190.71670532226562,0.6727602481842041,0.00026480824453756213,0.0002654604322742671,0.0002650782116688788
3,0.0002432572073303163,0.00026498929946683347,9.999999747378752e-05,187.4550018310547,0.6565086841583252,0.00019929840345866978,0.0002655417483765632,0.00026493147015571594
4,0.00024263108207378536,0.000264867179794237,9.999999747378752e-05,188.8090362548828,0.6764414310455322,0.0002632873656693846,0.0002655702119227499,0.000199035755940713
5,0.000231249287026003,0.0002647552464623004,9.999999747378752e-05,188.842041015625,0.6539850234985352,0.00016378289728891104,0.00026527841691859066,0.00026468667783774436
6,0.0002649586240295321,0.0002646639186423272,9.999999747378752e-05,186.8574981689453,0.6711902618408203,0.0002647937508299947,0.0002653372357599437,0.0002647449728101492
7,0.00026467989664524794,0.00026463778340257704,9.999999747378752e-05,186.92189025878906,0.6587467193603516,0.00026347319362685084,0.0002654180279932916,0.00026514838100411
8,0.0002641578030306846,0.0002646819921210408,9.999999747378752e-05,187.98403930664062,0.6547195911407471,0.0002624252811074257,0.0002652200637385249,0.0002648280351422727
9,0.0002643694169819355,0.0002644950000103563,9.999999747378752e-05,189.052001953125,0.6783597469329834,0.0002632642863318324,0.00026526403962634504,0.00026457992498762906
10,0.0002427576546324417,0.00026447849813848734,9.999999747378752e-05,188.0923614501953,0.6516165733337402,0.00019827626238111407,0.0002650730311870575,0.0002649236121214926
11,0.00024216491146944463,0.0002644604828674346,9.999999747378752e-05,188.53244018554688,0.666377067565918,0.0002620039158500731,0.0002654916315805167,0.0001989991287700832
12,0.0002308124239789322,0.00026435009203851223,9.999999747378752e-05,187.76510620117188,0.6659691333770752,0.0001628103491384536,0.0002652103139553219,0.0002644166233949363
13,0.0002646248321980238,0.00026415911270305514,9.999999747378752e-05,188.7070770263672,0.6534364223480225,0.00026427628472447395,0.00026510818861424923,0.00026448999415151775
14,0.0002641797764226794,0.00026422241353429854,9.999999747378752e-05,190.6943359375,0.6643037796020508,0.00026231224182993174,0.00026527224690653384,0.0002649548405315727
15,0.0002631881507113576,0.00026429942226968706,9.999999747378752e-05,188.4508819580078,0.6692278385162354,0.00026017596246674657,0.0002649900270625949,0.0002643984917085618
16,0.0002639017766341567,0.0002640123711898923,9.999999747378752e-05,187.38116455078125,0.6464426517486572,0.00026248214999213815,0.00026496098143979907,0.0002642622566781938
17,0.00024247370311059058,0.0002641486644279212,9.999999747378752e-05,189.26446533203125,0.6554396152496338,0.00019759083807002753,0.00026499846717342734,0.00026483176043257117
18,0.00024213491997215897,0.00026395797613076866,9.999999747378752e-05,190.3179168701172,0.6526744365692139,0.0002615464909467846,0.00026528906892053783,0.00019956914184149355
19,0.00022996088955551386,0.00026325383805669844,9.999999747378752e-05,189.13157653808594,0.6507987976074219,0.0001607347949175164,0.0002649677044246346,0.0002641802711877972
20,0.0002640449383761734,0.0002623537729959935,9.999999747378752e-05,188.84127807617188,0.6379742622375488,0.00026213997625745833,0.00026535033248364925,0.00026464444817975163
21,0.00026071007596328855,0.000256943836575374,9.999999747378752e-05,187.1764678955078,0.6453144550323486,0.00025076227029785514,0.0002657868608366698,0.0002655810385476798
22,0.00026483432156965137,0.0002571073127910495,9.999999747378752e-05,185.98684692382812,0.6377108097076416,0.00026134224026463926,0.00026851004804484546,0.0002646506472956389
23,0.0002630790986586362,0.00026315602008253336,9.999999747378752e-05,186.7046661376953,0.6638705730438232,0.0002602468302939087,0.0002652842958923429,0.00026370625710114837
24,0.00024153034610208124,0.00026147134485654533,9.999999747378752e-05,186.17489624023438,0.674907922744751,0.0001953450992004946,0.00026513964985497296,0.00026410623104311526
25,0.0002389591682003811,0.0002602243621367961,9.999999747378752e-05,185.81668090820312,0.6521868705749512,0.0002524274168536067,0.0002652788534760475,0.00019917121971957386
26,0.00021020557323936373,0.00024940824368968606,9.999999747378752e-05,186.52301025390625,0.6464929580688477,0.0001016009773593396,0.0002651632239576429,0.0002638525329530239
27,0.00024861330166459084,0.00023435409821104258,9.999999747378752e-05,186.3704833984375,0.6384167671203613,0.00021606269001495093,0.00026549279573373497,0.0002642844046931714
28,0.00025513602304272354,0.0002454853383824229,9.999999747378752e-05,185.10452270507812,0.6619727611541748,0.00023415617761202157,0.0002661377366166562,0.0002651141840033233
29,0.0002689348766580224,0.0002653131086844951,9.999999747378752e-05,185.93978881835938,0.637005090713501,0.0002635541604831815,0.00027656907332129776,0.0002666814543772489
30,0.00024904246674850583,0.00023752887500450015,9.999999747378752e-05,184.6385498046875,0.6429789066314697,0.00021716835908591747,0.000265860726358369,0.0002640983439050615
31,0.00019837137369904667,0.00023141993733588606,9.999999747378752e-05,184.3052520751953,0.6384286880493164,6.669110007351264e-05,0.0002651155518833548,0.0002633074182085693
32,0.0002015835343627259,0.00024133695114869624,9.999999747378752e-05,184.47361755371094,0.6460936069488525,0.00014218795695342124,0.0002649190428201109,0.00019764358876273036
33,0.00018613992142491043,0.00023557660460937768,9.999999747378752e-05,184.84475708007812,0.6515982151031494,2.954247065645177e-05,0.0002650426176842302,0.0002638347214087844
