epoch,train_loss,val_loss,learning_rate,train_time,val_time,head,torso,tailBase
0,,0.012529779225587845,9.999999747378752e-05,,,,,
0,0.0033403970301151276,0.0036702342331409454,9.999999747378752e-05,,,0.0029454410541802645,0.002510685473680496,0.004565064329653978
1,0.002409216482192278,0.002823201473802328,9.999999747378752e-05,47.4150390625,0.23517823219299316,0.0028698777314275503,0.00015833643556106836,0.004199435468763113
2,0.0022611257154494524,0.0027423265855759382,9.999999747378752e-05,46.82618713378906,0.2231428623199463,0.0026307564694434404,4.9547790695214644e-05,0.004103073384612799
3,0.0020670234225690365,0.002737171947956085,9.999999747378752e-05,46.51630401611328,0.24073314666748047,0.0025600555818527937,8.267370139947161e-05,0.0035583411809056997
4,0.0020224195905029774,0.0025507891550660133,9.999999747378752e-05,46.8015022277832,0.23744606971740723,0.002659374848008156,5.061503907199949e-05,0.0033572681713849306
5,0.0016531252767890692,0.0025551016442477703,9.999999747378752e-05,47.199073791503906,0.22255587577819824,0.002107136184349656,7.271207141457126e-05,0.002779528498649597
6,0.001130448654294014,0.0027550705708563328,9.999999747378752e-05,47.651790618896484,0.24569964408874512,0.0011272347765043378,7.030602137092501e-05,0.0021938050631433725
7,0.0007228844333440065,0.0025477332528680563,9.999999747378752e-05,46.87785339355469,0.2259821891784668,0.0009958789451047778,4.2163621401414275e-05,0.001130610820837319
8,0.0006864293827675283,0.0024556294083595276,9.999999747378752e-05,46.95720672607422,0.23263072967529297,0.0006164002697914839,0.0002737610775511712,0.001169126946479082
9,0.0007297233678400517,0.0025117043405771255,9.999999747378752e-05,46.67586898803711,0.24187326431274414,0.0008684461936354637,0.0001051019862643443,0.0012156219454482198
10,0.0001992962061194703,0.002213666681200266,9.999999747378752e-05,46.81138229370117,0.22264552116394043,0.00028265287983231246,6.286055577220395e-05,0.0002523751463741064
11,0.0002962543221656233,0.002473598811775446,9.999999747378752e-05,49.79480743408203,0.25156307220458984,0.00027278545894660056,9.085552301257849e-05,0.0005251219845376909
12,0.00012426807370502502,0.0023786015808582306,9.999999747378752e-05,50.53450012207031,0.24266815185546875,0.00014598270354326814,7.607673614984378e-05,0.0001507447741460055
13,0.00016149284783750772,0.0027494814712554216,9.999999747378752e-05,50.73746109008789,0.2500731945037842,0.00014531049237120897,5.097831672173925e-05,0.0002881897089537233
14,0.00027646750095300376,0.002652758965268731,9.999999747378752e-05,50.94404602050781,0.25191426277160645,0.00035278088762424886,6.572866550413892e-05,0.00041089291335083544
15,0.0003763138665817678,0.0023160260170698166,9.999999747378752e-05,51.078216552734375,0.2561790943145752,0.00023149272601585835,0.00011920832912437618,0.0007782404427416623
16,6.198776827659458e-05,0.0021246792748570442,9.999999747378752e-05,50.93976974487305,0.2609434127807617,8.337120380019769e-05,2.2546002583112568e-05,8.004608389455825e-05
17,4.6739616664126515e-05,0.002176137873902917,9.999999747378752e-05,50.95254135131836,0.24635744094848633,3.7268033338477835e-05,1.7119966287282296e-05,8.58308412716724e-05
18,0.0001193311472889036,0.0020967936143279076,9.999999747378752e-05,50.541419982910156,0.2532825469970703,6.0575996030820534e-05,0.00010370913514634594,0.00019370832887943834
19,0.00016081082867458463,0.002403608523309231,9.999999747378752e-05,50.61109924316406,0.2436082363128662,0.00030040511046536267,5.549621346290223e-05,0.00012653112935367972
20,6.53519164188765e-05,0.0021209917031228542,9.999999747378752e-05,50.92600631713867,0.2518887519836426,4.1772727854549885e-05,6.457912968471646e-05,8.970389171736315e-05
21,0.000342531013302505,0.00246504507958889,9.999999747378752e-05,50.73443603515625,0.23422455787658691,0.0007382645271718502,0.0001483410014770925,0.00014098746760282665
22,9.857761324383318e-05,0.002113248687237501,9.999999747378752e-05,51.10773849487305,0.250765323638916,0.0001319675357080996,2.4808818125166e-05,0.0001389564567944035
23,0.0001343928452115506,0.0022630509920418262,9.999999747378752e-05,50.58387756347656,0.24429535865783691,9.645535465097055e-05,3.7920490285614505e-05,0.0002688027161639184
24,6.059297811589204e-05,0.0023792078718543053,9.999999747378752e-05,50.39478302001953,0.25319623947143555,4.70651539217215e-05,5.3365027270046994e-05,8.134875679388642e-05
25,6.386443419614807e-05,0.0023496621288359165,9.999999747378752e-05,50.74946975708008,0.2495734691619873,7.609832391608506e-05,3.1768446206115186e-05,8.372651791432872e-05
26,0.00011275844735791907,0.002023749053478241,9.999999747378752e-05,51.00990295410156,0.25543999671936035,5.027836232329719e-05,2.126784238498658e-05,0.000266729126451537
27,5.43188325536903e-05,0.002131605986505747,9.999999747378752e-05,50.83260726928711,0.23704957962036133,7.620826363563538e-05,2.9214827009127475e-05,5.753339428338222e-05
28,0.00010347797069698572,0.0022107334807515144,9.999999747378752e-05,50.44076156616211,0.248396635055542,0.00017550836491864175,1.2039876310154796e-05,0.00012288568541407585
29,5.061404226580635e-05,0.0021668607369065285,9.999999747378752e-05,50.8741340637207,0.2468416690826416,2.9163573344703764e-05,4.556009662337601e-05,7.711844955338165e-05
30,7.534879841841757e-05,0.0020546994637697935,9.999999747378752e-05,51.09092330932617,0.28191447257995605,4.7836907469900325e-05,1.6637304725009017e-05,0.000161572199431248
31,5.314307054504752e-05,0.002331093419343233,9.999999747378752e-05,50.82381820678711,0.24879240989685059,4.5061897253617644e-05,1.8334460037294775e-05,9.603286162018776e-05
32,3.7384917959570885e-05,0.002201960887759924,9.999999747378752e-05,50.668209075927734,0.2539060115814209,3.1357751140603796e-05,2.703926475078333e-05,5.375772889237851e-05
33,0.00013415096327662468,0.0026140231639146805,9.999999747378752e-05,51.06629180908203,0.2609734535217285,0.00012162494385847822,0.00010541246592765674,0.00017541548004373908
34,4.6138433390296996e-05,0.002223188988864422,9.999999747378752e-05,48.79991149902344,0.23518848419189453,4.806346260011196e-05,3.1554416636936367e-05,5.8797424571821466e-05
35,9.508537186775357e-05,0.002402522135525942,9.999999747378752e-05,47.29967498779297,0.24905157089233398,0.0001220790290972218,2.550399767642375e-05,0.0001376731088384986
36,2.4289814973599277e-05,0.001995596569031477,9.999999747378752e-05,47.18517303466797,0.2484428882598877,2.6539541067904793e-05,2.1983678379910998e-05,2.434622547298204e-05
37,4.953169991495088e-05,0.00208925548940897,9.999999747378752e-05,47.28488540649414,0.2335963249206543,4.257996624801308e-05,1.6307727491948754e-05,8.97074060048908e-05
38,3.985232251579873e-05,0.0020124297589063644,9.999999747378752e-05,47.628501892089844,0.24050664901733398,3.698820000863634e-05,5.408881406765431e-05,2.847994073817972e-05
39,7.534495671279728e-05,0.0020791843999177217,9.999999747378752e-05,48.24748992919922,0.2595551013946533,0.00011372882727300748,2.9155287847970612e-05,8.31507277325727e-05
40,0.00014251843094825745,0.0021993345580995083,9.999999747378752e-05,51.38357162475586,0.24980854988098145,0.00010366878268541768,0.00024068304628599435,8.320348570123315e-05
41,7.082891534082592e-05,0.0020588738843798637,9.999999747378752e-05,50.945045471191406,0.24905943870544434,8.078090468188748e-05,6.186493556015193e-05,6.984091305639595e-05
42,5.770353163825348e-05,0.002198109868913889,9.999999747378752e-05,51.379364013671875,0.2745833396911621,5.4006599384592846e-05,1.3018902791372966e-05,0.00010608509910525754
43,3.3397744118701667e-05,0.0020889772567898035,9.999999747378752e-05,51.2051887512207,0.2522308826446533,2.508315083105117e-05,3.195747558493167e-05,4.315261685405858e-05
44,2.1687557818950154e-05,0.0023022121749818325,9.999999747378752e-05,51.49603271484375,0.2533440589904785,8.860800335241947e-06,1.3842160115018487e-05,4.235971937305294e-05
45,1.8950631783809513e-05,0.0020019053481519222,9.999999747378752e-05,48.039794921875,0.22773241996765137,2.059710277535487e-05,7.379169346677372e-06,2.887562550313305e-05
46,2.7264110030955635e-05,0.002238596323877573,9.999999747378752e-05,47.058345794677734,0.23643803596496582,3.743743945960887e-05,7.855353032937273e-06,3.649953214335255e-05
